 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98700000e-01  9.01345000e-01  4.38173000e-04  1.80000000e+00  2.70605000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 2.00000000e+00  8.99577000e-01  9.00469000e-01  1.31708000e-03  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 3.00000000e+00  9.00469000e-01  8.99577000e-01  2.19598000e-03  1.80000000e+00  2.70613000e-09  2.70613000e-09  2.70615000e-09  2.70615000e-09  2.70615000e-09  2.70615000e-09  2.70615000e-09  2.70615000e-09  1.80000000e+00 
 4.00000000e+00  9.01346000e-01  8.98701000e-01  3.07489000e-03  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00 
 5.00000000e+00  8.98703000e-01  9.01343000e-01  3.95379000e-03  1.80000000e+00  2.70605000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  8.99595000e-01  9.00451000e-01  4.83270000e-03  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00471000e-01  8.99574000e-01  5.71160000e-03  1.80000000e+00  2.70610000e-09  2.70611000e-09  2.70612000e-09  2.70612000e-09  2.70612000e-09  2.70612000e-09  2.70612000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01348000e-01  8.98698000e-01  6.59051000e-03  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00 
