 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98935000e-01  9.01171000e-01  3.23875000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 2.00000000e+00  8.99812000e-01  9.00294000e-01  3.24754000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 3.00000000e+00  9.00704000e-01  8.99402000e-01  3.25633000e-01  1.80000000e+00  2.70615000e-09  1.80000000e+00  2.70618000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.71079000e-09  2.71065000e-09  1.80000000e+00 
 4.00000000e+00  9.01581000e-01  8.98525000e-01  3.26512000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70611000e-09  2.70611000e-09  1.80000000e+00 
 5.00000000e+00  8.98938000e-01  9.01168000e-01  3.27391000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  8.99830000e-01  9.00276000e-01  3.28270000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70608000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.00707000e-01  8.99399000e-01  3.29149000e-01  1.80000000e+00  2.70614000e-09  1.80000000e+00  2.70617000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.71114000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01584000e-01  8.98523000e-01  3.30028000e-01  1.80000000e+00  2.70620000e-09  1.80000000e+00  2.70627000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70843000e-09  1.80000000e+00  1.80000000e+00 
