 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99378000e-01  9.00730000e-01  8.30124000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  9.00255000e-01  8.99853000e-01  8.31003000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70607000e-09  2.70607000e-09  1.80000000e+00 
 3.00000000e+00  9.01148000e-01  8.98960000e-01  8.31882000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70613000e-09  1.80000000e+00  1.80000000e+00  2.71000000e-09  2.70988000e-09  1.80000000e+00 
 4.00000000e+00  8.98505000e-01  9.01603000e-01  8.32761000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 5.00000000e+00  8.99382000e-01  9.00726000e-01  8.33640000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  9.00258000e-01  8.99849000e-01  8.34519000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70610000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.01151000e-01  8.98956000e-01  8.35398000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70622000e-09  1.80000000e+00  1.80000000e+00  2.70799000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98508000e-01  9.01599000e-01  8.36277000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09 
