 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99217000e-01  9.00926000e-01  6.40281000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 2.00000000e+00  9.00094000e-01  9.00049000e-01  6.41160000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00986000e-01  8.99156000e-01  6.42039000e-01  1.80000000e+00  1.80000000e+00  2.70625000e-09  1.80000000e+00  1.80000000e+00  2.71070000e-09  1.80000000e+00  1.80000000e+00  2.71058000e-09  1.80000000e+00 
 4.00000000e+00  8.98344000e-01  9.01799000e-01  6.42918000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 5.00000000e+00  8.99220000e-01  9.00922000e-01  6.43797000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  9.00097000e-01  9.00045000e-01  6.44676000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00989000e-01  8.99154000e-01  6.45554000e-01  1.80000000e+00  1.80000000e+00  2.70613000e-09  1.80000000e+00  1.80000000e+00  2.71017000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98347000e-01  9.01796000e-01  6.46433000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09 
