 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99291000e-01  9.00843000e-01  7.24656000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  9.00168000e-01  8.99966000e-01  7.25535000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.01060000e-01  8.99074000e-01  7.26414000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70624000e-09  2.70625000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70841000e-09  1.80000000e+00 
 4.00000000e+00  9.01937000e-01  8.98198000e-01  7.27293000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70611000e-09  1.80000000e+00 
 5.00000000e+00  8.99294000e-01  9.00839000e-01  7.28172000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  9.00170000e-01  8.99963000e-01  7.29050000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.01063000e-01  8.99071000e-01  7.29929000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98420000e-01  9.01713000e-01  7.30808000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70605000e-09  2.70604000e-09  2.70604000e-09  2.70605000e-09 
