 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99092000e-01  9.01040000e-01  5.06687000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99970000e-01  9.00164000e-01  5.07566000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00 
 3.00000000e+00  9.00862000e-01  8.99271000e-01  5.08445000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00 
 4.00000000e+00  8.98220000e-01  9.01914000e-01  5.09324000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 5.00000000e+00  8.99096000e-01  9.01037000e-01  5.10203000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  8.99988000e-01  9.00145000e-01  5.11082000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00865000e-01  8.99268000e-01  5.11961000e-01  1.80000000e+00  1.80000000e+00  2.70611000e-09  2.70612000e-09  1.80000000e+00  2.70612000e-09  2.70612000e-09  2.70611000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98223000e-01  9.01911000e-01  5.12840000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70605000e-09 
