 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99080000e-01  9.01051000e-01  4.92625000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99957000e-01  9.00174000e-01  4.93504000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00850000e-01  8.99282000e-01  4.94383000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 4.00000000e+00  8.98207000e-01  9.01925000e-01  4.95262000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 5.00000000e+00  8.99084000e-01  9.01048000e-01  4.96141000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.99960000e-01  9.00172000e-01  4.97019000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00852000e-01  8.99282000e-01  4.97898000e-01  1.80000000e+00  1.80000000e+00  2.70620000e-09  2.70624000e-09  2.70626000e-09  1.80000000e+00  1.80000000e+00  2.70811000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98210000e-01  9.01923000e-01  4.98777000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70605000e-09 
