 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99131000e-01  9.01004000e-01  5.48875000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  9.00008000e-01  9.00127000e-01  5.49754000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 3.00000000e+00  9.00901000e-01  8.99235000e-01  5.50633000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70618000e-09  2.70618000e-09  1.80000000e+00 
 4.00000000e+00  9.01778000e-01  8.98359000e-01  5.51512000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70608000e-09  2.70608000e-09  1.80000000e+00 
 5.00000000e+00  8.99135000e-01  9.01000000e-01  5.52391000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  9.00026000e-01  9.00109000e-01  5.53269000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70608000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.00903000e-01  8.99232000e-01  5.54148000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01780000e-01  8.98357000e-01  5.55027000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70607000e-09  1.80000000e+00  1.80000000e+00 
