 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98804000e-01  9.01265000e-01  1.48094000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99680000e-01  9.00388000e-01  1.48973000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00572000e-01  8.99496000e-01  1.49852000e-01  1.80000000e+00  2.70612000e-09  2.70608000e-09  1.80000000e+00  2.71003000e-09  1.80000000e+00  2.70613000e-09  1.80000000e+00  2.70614000e-09  1.80000000e+00 
 4.00000000e+00  9.01449000e-01  8.98620000e-01  1.50731000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70629000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00 
 5.00000000e+00  8.98806000e-01  9.01263000e-01  1.51610000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.99683000e-01  9.00386000e-01  1.52489000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09 
 7.00000000e+00  9.00565000e-01  8.99506000e-01  1.53368000e-01  1.80000000e+00  2.70612000e-09  2.70608000e-09  1.80000000e+00  2.71007000e-09  1.80000000e+00  2.70614000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01452000e-01  8.98618000e-01  1.54247000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70629000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
