 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98828000e-01  9.01248000e-01  1.83250000e-01  1.80000000e+00  2.70604000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 2.00000000e+00  8.99704000e-01  9.00372000e-01  1.84129000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 3.00000000e+00  9.00597000e-01  8.99480000e-01  1.85008000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 4.00000000e+00  9.01474000e-01  8.98603000e-01  1.85887000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  1.80000000e+00  2.70627000e-09  2.70626000e-09  1.80000000e+00 
 5.00000000e+00  8.98826000e-01  9.01241000e-01  1.86766000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.99707000e-01  9.00370000e-01  1.87645000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 7.00000000e+00  9.00600000e-01  8.99478000e-01  1.88524000e-01  1.80000000e+00  2.70608000e-09  2.70607000e-09  1.80000000e+00  1.80000000e+00  2.70688000e-09  1.80000000e+00  2.70688000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01477000e-01  8.98601000e-01  1.89403000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  1.80000000e+00  2.70627000e-09  1.80000000e+00  1.80000000e+00 
