 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99276000e-01  9.00864000e-01  7.03562000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09  2.70604000e-09  2.70605000e-09  2.70605000e-09 
 2.00000000e+00  9.00165000e-01  8.99973000e-01  7.04441000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09  1.80000000e+00 
 3.00000000e+00  9.01042000e-01  8.99096000e-01  7.05320000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70605000e-09  2.70604000e-09  1.80000000e+00 
 4.00000000e+00  8.98399000e-01  9.01738000e-01  7.06199000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 5.00000000e+00  8.99276000e-01  9.00861000e-01  7.07078000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  9.00153000e-01  8.99984000e-01  7.07957000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70620000e-09  2.70620000e-09  1.80000000e+00  2.70620000e-09  2.70620000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.01045000e-01  8.99092000e-01  7.08836000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01922000e-01  8.98215000e-01  7.09715000e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70616000e-09  2.70616000e-09  1.80000000e+00  2.70616000e-09  2.70618000e-09  1.80000000e+00  1.80000000e+00 
