 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98958000e-01  9.01153000e-01  3.52000000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99835000e-01  9.00276000e-01  3.52879000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
 3.00000000e+00  9.00727000e-01  8.99384000e-01  3.53758000e-01  1.80000000e+00  2.70617000e-09  1.80000000e+00  1.80000000e+00  2.70700000e-09  2.70700000e-09  1.80000000e+00  2.70700000e-09  2.70701000e-09  1.80000000e+00 
 4.00000000e+00  9.01604000e-01  8.98508000e-01  3.54637000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  2.70627000e-09  1.80000000e+00  2.70627000e-09  2.70626000e-09  1.80000000e+00 
 5.00000000e+00  8.98962000e-01  9.01150000e-01  3.55516000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.99838000e-01  9.00273000e-01  3.56395000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.00738000e-01  8.99372000e-01  3.57274000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01608000e-01  8.98505000e-01  3.58153000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  2.70627000e-09  1.80000000e+00  2.70627000e-09  1.80000000e+00  1.80000000e+00 
