 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99150000e-01  9.00986000e-01  5.69969000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70605000e-09 
 2.00000000e+00  9.00027000e-01  9.00109000e-01  5.70848000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00919000e-01  8.99218000e-01  5.71726000e-01  1.80000000e+00  1.80000000e+00  2.70626000e-09  1.80000000e+00  2.70869000e-09  2.70868000e-09  2.70638000e-09  1.80000000e+00  2.70639000e-09  1.80000000e+00 
 4.00000000e+00  9.01795000e-01  8.98342000e-01  5.72605000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70607000e-09  2.70607000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00 
 5.00000000e+00  8.99153000e-01  9.00984000e-01  5.73484000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  9.00029000e-01  9.00107000e-01  5.74363000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00922000e-01  8.99214000e-01  5.75242000e-01  1.80000000e+00  1.80000000e+00  2.70626000e-09  1.80000000e+00  2.70875000e-09  2.70874000e-09  2.70640000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01799000e-01  8.98339000e-01  5.76121000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70612000e-09  2.70612000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
