 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99174000e-01  9.00962000e-01  5.98094000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  9.00066000e-01  9.00070000e-01  5.98972000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70606000e-09 
 3.00000000e+00  9.00943000e-01  8.99193000e-01  5.99851000e-01  1.80000000e+00  1.80000000e+00  2.70615000e-09  1.80000000e+00  2.71005000e-09  1.80000000e+00  2.70623000e-09  1.80000000e+00  2.70625000e-09  1.80000000e+00 
 4.00000000e+00  9.01820000e-01  8.98318000e-01  6.00730000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70612000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00 
 5.00000000e+00  8.99177000e-01  9.00959000e-01  6.01609000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  9.00054000e-01  9.00082000e-01  6.02488000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09 
 7.00000000e+00  9.00946000e-01  8.99190000e-01  6.03367000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70618000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98305000e-01  9.01832000e-01  6.04246000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09 
