 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98789000e-01  9.01275000e-01  1.27000000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99683000e-01  9.00385000e-01  1.27879000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00558000e-01  8.99507000e-01  1.28758000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 4.00000000e+00  9.01435000e-01  8.98630000e-01  1.29637000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 5.00000000e+00  8.98798000e-01  9.01272000e-01  1.30516000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.99668000e-01  9.00397000e-01  1.31395000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.00560000e-01  8.99504000e-01  1.32274000e-01  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01437000e-01  8.98628000e-01  1.33153000e-01  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00 
