 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98981000e-01  9.01134000e-01  3.80125000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99858000e-01  9.00257000e-01  3.81004000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  1.80000000e+00  1.80000000e+00  2.70617000e-09  2.70617000e-09  1.80000000e+00 
 3.00000000e+00  9.00751000e-01  8.99365000e-01  3.81883000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  2.70606000e-09  1.80000000e+00 
 4.00000000e+00  9.01628000e-01  8.98489000e-01  3.82762000e-01  1.80000000e+00  2.70607000e-09  1.80000000e+00  1.80000000e+00  2.70749000e-09  1.80000000e+00  1.80000000e+00  2.70748000e-09  2.70745000e-09  1.80000000e+00 
 5.00000000e+00  8.98985000e-01  9.01131000e-01  3.83641000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09 
 6.00000000e+00  8.96249000e-01  4.54410000e-01  3.84520000e-01  1.80000000e+00  2.70613000e-09  1.80000000e+00  1.80000000e+00  2.70834000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70734000e-09  1.80000000e+00 
 7.00000000e+00  9.00754000e-01  8.99362000e-01  3.85399000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01630000e-01  8.98487000e-01  3.86277000e-01  1.80000000e+00  2.70624000e-09  1.80000000e+00  1.80000000e+00  2.70883000e-09  1.80000000e+00  1.80000000e+00  2.70883000e-09  1.80000000e+00  1.80000000e+00 
