 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.98970000e-01  9.01143000e-01  3.66063000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99862000e-01  9.00251000e-01  3.66942000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70627000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00 
 3.00000000e+00  9.00738000e-01  8.99375000e-01  3.67820000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00 
 4.00000000e+00  9.01615000e-01  8.98499000e-01  3.68699000e-01  1.80000000e+00  2.70610000e-09  1.80000000e+00  1.80000000e+00  2.70675000e-09  1.80000000e+00  2.70611000e-09  2.70611000e-09  2.70612000e-09  1.80000000e+00 
 5.00000000e+00  8.98973000e-01  9.01141000e-01  3.69578000e-01  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  8.99849000e-01  9.00265000e-01  3.70457000e-01  1.80000000e+00  2.70609000e-09  1.80000000e+00  1.80000000e+00  2.70782000e-09  1.80000000e+00  2.70611000e-09  2.70612000e-09  1.80000000e+00  1.80000000e+00 
 7.00000000e+00  9.00742000e-01  8.99372000e-01  3.71336000e-01  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  9.01618000e-01  8.98496000e-01  3.72215000e-01  1.80000000e+00  2.70610000e-09  1.80000000e+00  1.80000000e+00  2.70720000e-09  1.80000000e+00  2.70611000e-09  2.70613000e-09  1.80000000e+00  1.80000000e+00 
