 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99229000e-01  9.00913000e-01  6.54343000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 2.00000000e+00  9.00105000e-01  9.00036000e-01  6.55222000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  2.70605000e-09  2.70605000e-09 
 3.00000000e+00  9.00998000e-01  8.99144000e-01  6.56101000e-01  1.80000000e+00  1.80000000e+00  2.70613000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70617000e-09  1.80000000e+00  2.70620000e-09  1.80000000e+00 
 4.00000000e+00  8.98356000e-01  9.01787000e-01  6.56980000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 5.00000000e+00  8.99232000e-01  9.00910000e-01  6.57859000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  9.00109000e-01  9.00033000e-01  6.58738000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 7.00000000e+00  9.01002000e-01  8.99140000e-01  6.59617000e-01  1.80000000e+00  1.80000000e+00  2.70610000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70614000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98360000e-01  9.01783000e-01  6.60496000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70604000e-09  2.70605000e-09 
