 def_scale       vsampled_p      vsampled_n      in_diff_v       out_bits[0]     out_bits[1]     out_bits[2]     out_bits[3]     out_bits[4]     out_bits[5]     out_bits[6]     out_bits[7]     out_bits[8]     out_bits[9]    
 1.00000000e+00  8.99086000e-01  9.01046000e-01  4.99656000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09 
 2.00000000e+00  8.99963000e-01  9.00169000e-01  5.00535000e-01  1.80000000e+00  1.80000000e+00  2.70605000e-09  2.70605000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09  1.80000000e+00 
 3.00000000e+00  9.00856000e-01  8.99277000e-01  5.01414000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70606000e-09  1.80000000e+00 
 4.00000000e+00  8.98214000e-01  9.01919000e-01  5.02293000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 5.00000000e+00  8.99090000e-01  9.01042000e-01  5.03172000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70605000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  2.70605000e-09 
 6.00000000e+00  0.00000000e+00  0.00000000e+00  5.04051000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 7.00000000e+00  9.00859000e-01  8.99273000e-01  5.04930000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 
 8.00000000e+00  8.98217000e-01  9.01916000e-01  5.05809000e-01  1.80000000e+00  1.80000000e+00  2.70604000e-09  2.70604000e-09  1.80000000e+00  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09  2.70604000e-09 
